Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Search_Volume_Category,Product_Category,Competition_Category,normalized_searches,normalized_competition,Opportunity_Score,Opportunity_Category
coach sunglasses outlet,INR,5000,0.0,0.0,High,100.0,59.05,256.74,Moderate Visits,accessories,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach wallets on sale,INR,5000,0.0,0.0,High,100.0,23.96,149.77,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet boots,INR,5000,-0.9,0.0,High,100.0,30.81,203.68,Moderate Visits,shoes,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach bags on sale online,INR,500,0.0,0.0,High,100.0,17.12,145.49,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach blue bag,INR,50000,0.0,9.0,High,100.0,88.15,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
brown coach purse,INR,50000,0.0,0.0,High,100.0,104.41,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
city tote in signature canvas,INR,500,0.0,-0.9,High,100.0,136.07,256.74,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach brown bag,INR,50000,0.0,0.0,High,100.0,104.41,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach usa website,INR,500,0.0,0.0,High,100.0,149.77,149.77,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
men's coach outlet,INR,50000,0.0,0.0,High,100.0,148.06,256.74,Moderate Visits,general_coach,High,0.01,1.0,-39.4,Low Opportunity
coach retail,INR,5000,0.0,0.0,High,100.0,149.77,149.77,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach body bag,INR,5000,0.0,0.0,High,100.0,64.19,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach cross bag,INR,50000,0.0,0.0,High,100.0,53.92,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach flower purse,INR,5000,0.0,0.0,High,100.0,102.7,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach official website,INR,500,0.0,0.0,High,95.0,149.77,149.77,Least Frequently Visited,general_coach,High,0.0001,0.95,-37.994,Low Opportunity
coach canvas tote,INR,5000,0.0,0.0,High,100.0,29.29,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
new coach bags,INR,50000,0.0,9.0,High,100.0,120.67,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach black crossbody bag,INR,5000,0.0,0.0,High,100.0,74.46,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach bag price,INR,5000,0.0,0.0,High,95.0,36.8,149.77,Moderate Visits,handbags_purses,High,0.001,0.95,-37.940000000000005,Low Opportunity
coach cross body bag sale,INR,500,-0.9,-0.9,High,86.0,23.11,173.73,Least Frequently Visited,handbags_purses,High,0.0001,0.86,-34.394000000000005,Low Opportunity
coach black tote,INR,5000,0.0,0.0,High,100.0,94.14,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet miami,INR,5000,0.0,0.0,High,100.0,24.82,93.28,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach small backpack,INR,5000,0.0,0.0,High,100.0,52.2,149.77,Moderate Visits,backpacks,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach tote bags on sale,INR,5000,0.0,0.0,High,100.0,20.54,134.36,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach zip wallet,INR,5000,0.0,0.0,High,100.0,49.48,149.77,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach cross body bags,INR,50000,0.0,0.0,High,100.0,53.92,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach outlet online sale,INR,5000,0.0,9.0,High,100.0,32.97,256.74,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach leather tote,INR,5000,0.0,0.0,High,100.0,73.6,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach card holder men,INR,5000,0.0,0.0,High,100.0,34.23,125.8,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
black coach backpack,INR,5000,0.0,0.0,High,100.0,27.39,135.22,Moderate Visits,backpacks,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet store near me,INR,50000,0.0,0.0,High,100.0,27.39,108.69,Moderate Visits,general_coach,High,0.01,1.0,-39.4,Low Opportunity
coach backpack sale,INR,5000,-0.9,0.0,High,100.0,23.11,149.77,Moderate Visits,backpacks,High,0.001,1.0,-39.940000000000005,Low Opportunity
red coach wallet,INR,5000,0.0,0.0,High,100.0,95.0,149.77,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach online shopping,INR,500,0.0,0.0,High,95.0,29.1,149.77,Least Frequently Visited,general_coach,High,0.0001,0.95,-37.994,Low Opportunity
coach mini crossbody,INR,5000,0.0,0.0,High,100.0,70.88,149.77,Moderate Visits,crossbody_bags,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach deals,INR,5000,0.0,0.0,High,100.0,35.94,178.86,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
mens coach,INR,5000,0.0,0.0,High,100.0,47.07,149.77,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach clearance sale,INR,500,0.0,0.0,High,100.0,29.95,161.07,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
bags outlet,INR,5000,0.0,0.0,High,100.0,29.1,152.33,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
yellow coach purse,INR,5000,0.0,0.0,High,100.0,21.4,106.12,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach book bag,INR,5000,0.0,0.0,High,100.0,90.72,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach wallet purse,INR,5000,0.0,0.0,High,100.0,34.23,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach white crossbody,INR,5000,0.0,-0.9,High,100.0,24.82,106.12,Moderate Visits,crossbody_bags,High,0.001,1.0,-39.940000000000005,Low Opportunity
discount coach bags,INR,5000,9.0,9.0,High,100.0,31.67,223.37,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach crossbody wallet,INR,5000,0.0,0.0,High,100.0,21.03,149.77,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach sling,INR,500,0.0,0.0,High,100.0,52.2,149.77,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach bags usa,INR,500,0.0,0.0,High,87.0,69.32,149.77,Least Frequently Visited,handbags_purses,High,0.0001,0.87,-34.794000000000004,Low Opportunity
coach outlet shoulder bag,INR,5000,0.0,0.0,High,100.0,59.05,206.25,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach billfold wallet,INR,5000,0.0,0.0,High,100.0,26.53,117.25,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
women coach purses,INR,50000,0.0,0.0,High,100.0,47.36,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach bag sale outlet,INR,5000,0.0,0.0,High,100.0,35.26,240.48,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach chain bag,INR,5000,0.0,0.0,High,100.0,44.5,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach handbags clearance,INR,5000,0.0,0.0,High,100.0,25.67,171.16,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
bolsas coach outlet,INR,50000,0.0,0.0,High,100.0,53.06,218.23,Moderate Visits,general_coach,High,0.01,1.0,-39.4,Low Opportunity
coachbag,INR,500,0.0,0.0,High,100.0,77.88,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach black friday deals,INR,5000,0.0,0.0,Medium,45.0,,,Moderate Visits,general_coach,Medium,0.001,0.45,-17.940000000000005,Low Opportunity
coach leather wallet,INR,5000,0.0,0.0,High,100.0,77.02,149.77,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach bags black friday sale,INR,500,-0.9,0.0,Medium,44.0,,,Least Frequently Visited,handbags_purses,Medium,0.0001,0.44,-17.594,Low Opportunity
coach mini tote bag,INR,5000,0.0,0.0,High,100.0,16.26,77.02,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
men coach,INR,500,0.0,0.0,High,100.0,45.36,149.77,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach green crossbody bag,INR,500,0.0,0.0,High,100.0,13.69,93.28,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach men's messenger bag,INR,5000,0.0,0.0,High,100.0,46.21,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach online shop,INR,50,0.0,0.0,Medium,50.0,,,Least Frequently Visited,general_coach,Medium,1e-05,0.5,-19.9994,Low Opportunity
coach long wallet,INR,500,0.0,0.0,High,100.0,22.25,80.45,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
pink coach backpack,INR,5000,0.0,0.0,High,100.0,14.55,64.19,Moderate Visits,backpacks,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach online sale,INR,500,0.0,0.0,High,86.0,34.23,181.43,Least Frequently Visited,general_coach,High,0.0001,0.86,-34.394000000000005,Low Opportunity
pink coach tote,INR,5000,0.0,0.0,High,100.0,16.26,84.73,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
white coach wallet,INR,5000,0.0,0.0,High,100.0,89.86,149.77,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach shop,INR,500,0.0,0.0,High,83.0,149.77,149.77,Least Frequently Visited,general_coach,High,0.0001,0.83,-33.194,Low Opportunity
bolsas coach en especial,INR,500,0.0,0.0,High,99.0,12.84,23.96,Least Frequently Visited,general_coach,High,0.0001,0.99,-39.594,Low Opportunity
pink coach crossbody,INR,5000,0.0,0.0,High,100.0,14.55,61.62,Moderate Visits,crossbody_bags,High,0.001,1.0,-39.940000000000005,Low Opportunity
green coach wallet,INR,5000,0.0,0.0,High,100.0,95.85,149.77,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
coachoutlets,INR,50,0.0,0.0,High,100.0,142.49,256.74,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
coach large backpack,INR,5000,0.0,0.0,High,100.0,28.49,149.77,Moderate Visits,backpacks,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach cross body purse,INR,50000,0.0,0.0,High,100.0,53.92,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach outlet loafers,INR,500,0.0,0.0,High,100.0,154.05,256.74,Least Frequently Visited,shoes,High,0.0001,1.0,-39.994,Low Opportunity
cross body coach,INR,500,0.0,0.0,High,100.0,66.75,149.77,Least Frequently Visited,crossbody_bags,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet purses on sale,INR,5000,0.0,0.0,High,100.0,35.26,240.48,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet reserve,INR,500,9.0,0.0,High,100.0,174.59,256.74,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet website,INR,500,0.0,0.0,High,100.0,98.42,256.74,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet crossbody purse,INR,5000,0.0,0.0,High,100.0,48.1,256.74,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
yellow coach bag,INR,5000,0.0,0.0,High,100.0,21.4,106.12,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach crossbody handbags,INR,50000,0.0,0.0,High,100.0,53.92,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach red crossbody bag,INR,500,0.0,0.0,High,100.0,13.69,60.76,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach factory outlet near me,INR,50000,0.0,0.0,High,100.0,27.39,108.69,Moderate Visits,general_coach,High,0.01,1.0,-39.4,Low Opportunity
coach 70 off,INR,500,9.0,0.0,High,100.0,57.85,201.97,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
navy blue coach purse,INR,5000,0.0,0.0,High,100.0,20.54,130.08,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach chest bag,INR,500,0.0,0.0,High,100.0,17.97,108.69,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach beige bag,INR,5000,0.0,0.0,High,100.0,22.25,97.56,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach pochette,INR,500,0.0,0.0,High,100.0,20.54,46.21,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
